Termo;Setor/Área;Explicação Simples;Setor Econômico
Dividas de Longo Prazo;Financeiro;Passivos com vencimento superior a um ano.;Terciário
Dividend Yield;Financeiro;Relação entre os dividendos pagos e o preço da ação.;Terciário
Dividend Yield;Mercado Financeiro;Relação entre os dividendos pagos por ação e o preço atual da ação.;Terciário
Dividend Yield (DY);Bolsa de Valores;Relação entre os dividendos pagos por uma empresa e o preço de sua ação.;Terciário
Dock-to-Stock Time;Logística;Tempo que leva para um produto recebido na doca estar disponível para venda no estoque.;Terciário
Dock-to-Stock Time;Supply Chain;Tempo levado desde o recebimento na doca até a disponibilidade para venda.;Terciário
Doença Holandesa;Macroeconomia;Desindustrialização causada pela valorização cambial via exportação de commodities.;Terciário (Serviços/Administração)
Doutrina Operacional;Segurança Pública;Padronização de procedimentos analisada via conformidade de dados.;Terciário
Downhole Pressure;Petróleo;Monitoramento da pressão no fundo do poço para controle de fluxo.;Primário (Extração) / Secundário (Refino)
Down-selling;Vendas;Oferecer uma alternativa mais barata para não perder a venda.;Terciário
Down-selling;Comercial e Vendas;Oferecer uma opção mais barata quando o cliente está prestes a desistir da compra por preço.;Terciário
Down-selling;Vendas;Oferecer um produto mais barato quando o cliente desiste da compra principal.;Terciário
Downtime;Supply Chain;Tempo em que um equipamento ou processo fica inativo.;Terciário
Downtime;Tecnologia;Período em que o sistema está indisponível para os utilizadores.;Terciário
Downtime (Planejado vs. Não Planejado);Automobilístico;"Tempo de máquina parada; análise crucial para prever gargalos na produção.";Secundário
Downtime Programado;Petróleo;Paradas de manutenção planejadas para garantir a segurança das plantas.;Primário (Extração) / Secundário (Refino)
DPO (Days Payable Outstanding);Financeiro;"Prazo Médio de Pagamento; tempo médio que a empresa leva para pagar seus fornecedores.";Terciário
DPO (Days Payable Outstanding);Supply Chain;Tempo médio que a empresa leva para pagar seus fornecedores.;Terciário
Drawdown;Mercado Financeiro;Declínio máximo de um investimento, do seu pico até o ponto mais baixo em um período.;Terciário
Drawdown;Bolsa de Valores;Declínio de pico a vale durante um período específico para um investimento.;Terciário
DRG (Diagnosis Related Groups);Saúde;Sistema de classificação que agrupa pacientes por diagnóstico e consumo de recursos.;Terciário
Drill-down;Visualização;Ato de clicar em um dado para ver um nível de detalhe maior.;Terciário
Drill-down Comercial;Vendas;Ato de detalhar uma métrica macro (ex: Venda Brasil) até o nível micro (ex: SKU).;Terciário
Drill-through;Visualização;Navegação entre diferentes relatórios para ver dados relacionados.;Terciário
Drip Campaign;Marketing;Série automatizada de e-mails enviados ao longo do tempo.;Terciário
Drop Shipping;Varejo;Modelo de logística onde o varejista vende, mas o fornecedor envia direto ao cliente.;Terciário
Drop Shipping;Comercial e Vendas;Venda de produtos onde o estoque e a logística são de responsabilidade do fornecedor.;Terciário
Drop Shipping;Logística;Modelo onde o revendedor não mantém estoque, enviando o pedido diretamente do fornecedor.;Terciário
Dropshipping;Supply Chain;Modelo onde o varejista não mantém estoque, o produto sai direto do fornecedor para o cliente.;Terciário
DSO (Days Sales Outstanding);Financeiro;Tempo médio para receber o pagamento de uma venda.;Terciário
DSO (Days Sales Outstanding);Financeiro;"Prazo Médio de Recebimento; quantos dias a empresa leva para coletar o pagamento após a venda.";Terciário
DSO (Days Sales Outstanding);Supply Chain;Tempo médio que a empresa leva para receber o pagamento após a venda.;Terciário
Due Diligence Imobiliária;Imobiliário;Processo de auditoria de documentos para compra de terrenos/ativos.;Terciário
Dumping;Macroeconomia;Venda de produtos no exterior abaixo do preço de custo para eliminar concorrência.;Terciário (Serviços/Administração)
Duration;Mercado Financeiro;Prazo médio de recebimento de um fluxo de caixa de um título de renda fixa.;Terciário
Dwell Time;Varejo;Tempo médio que um cliente permanece dentro da loja física.;Terciário
Dwell Time;Logística;Tempo que um veículo permanece parado no pátio ou doca aguardando carga/descarga.;Terciário
EAN/GTIN;Supply Chain;Padrão global de código de barras para identificação de produtos.;Terciário
Early Settlement Rate;Bancário/Fintech;Taxa de clientes que antecipam o pagamento de parcelas de empréstimo.;Terciário
Earnings Season;Bolsa de Valores;Período de divulgação dos resultados trimestrais das empresas listadas.;Terciário
EBIT;Financeiro;Lucro antes de juros e impostos (Lucro Operacional).;Terciário
EBIT;Mercado Financeiro;Lucro antes dos juros e impostos (Lucro Operacional).;Terciário
Ebit (Lucro Operacional);Varejo;"Lucro antes dos juros e impostos; reflete o desempenho real da operação.";Terciário
EBITDA;Varejo;"Lucro antes de juros, impostos, depreciação e amortização; mede a eficiência operacional.";Terciário
EBITDA;Financeiro;Lucro antes de juros, impostos, depreciação e amortização.;Terciário
EBITDA;Financeiro;Lucro antes de juros, impostos, depreciação e amortização. Indica a geração de caixa operacional.;Terciário
EBITDA;Mercado Financeiro;"Lucro antes de juros, impostos, depreciação e amortização; mede a geração de caixa operacional.";Terciário
EBITDA;Comercial;Lucro antes de juros, impostos, depreciação e amortização.;Terciário
EBITDA;Bolsa de Valores;Lucro antes de juros, impostos, depreciação e amortização.;Terciário
EBITDA Agro;Pecuária;Lucro antes de juros, impostos, depreciação e amortização da operação pecuária.;Primário
EBITDA do Projeto;Imobiliário;Lucro antes de juros, impostos, depreciação e amortização da SPE.;Terciário
EBITDA Hospitalar;Saúde;Lucro antes de juros, impostos, depreciação e amortização da unidade de saúde.;Terciário
EBITDA Margem;Indústria de Papel;Lucratividade operacional antes de juros, impostos, depreciação e amortização.;Secundário
EBITDA Margin;Financeiro;Eficiência operacional em percentual (EBITDA dividido pela Receita).;Terciário
EBITDA Margin;Startups;Mede a eficiência operacional sem considerar juros e impostos.;Terciário (Majoritariamente)
EBITDA por Divisão;Automobilístico;Lucro antes de juros, impostos, depreciação e amortização por linha de negócio.;Secundário
EBITDA por Hectare;Agricultura;Lucratividade operacional real da terra.;Primário
ECA (Eficiência de Conversão Alimentar);Pecuária;Quantidade de alimento consumido para produzir 1kg de peso vivo ou 1@.;Primário
Economia de Licitação (Saving);Governo;Diferença entre o valor orçado e o valor final homologado no certame.;Terciário
Economia Informal;Macroeconomia;Atividades econômicas não registradas e não tributadas.;Terciário (Serviços/Administração)
Edge Computing;Tecnologia;Processamento de dados perto da fonte para reduzir a latência.;Terciário
Edge Computing na Plataforma;Petróleo;Processamento de dados localmente em alto mar para resposta rápida.;Primário (Extração) / Secundário (Refino)
EDI (Electronic Data Interchange);Logística;Troca eletrônica de documentos (notas, pedidos) entre empresas e transportadoras.;Terciário
EDI (Electronic Data Interchange);Supply Chain;Troca eletrônica de documentos estruturados entre empresas.;Terciário
Efeito Calendário;Mercado Financeiro;Ajuste de métricas de BI devido a dias úteis ou feriados que afetam o volume financeiro.;Terciário
Efeito Chicote;Supply Chain;Flutuações de estoque resultantes de incertezas na demanda.;Terciário
Efeito Multiplicador;Macroeconomia;Fenômeno onde um gasto inicial gera aumentos sucessivos na renda nacional.;Terciário (Serviços/Administração)
Efeito Pass-Through;Macroeconomia;Grau de transmissão da variação do câmbio para os preços internos.;Terciário (Serviços/Administração)
Efetivo empenhado;Segurança Pública;Número de agentes ativos em campo versus efetivo administrativo.;Terciário
Efficiency Ratio (Eficiência de Planta);Imobiliário;Relação entre área privativa (vendível) e área total construída.;Terciário
Eficácia Biológica;Agricultura;Percentual de controle de pragas/doenças após aplicação de um defensivo.;Primário
Eficiência Arrecadatória;Governo;Razão entre o imposto efetivamente coletado e o potencial de arrecadação.;Terciário
Eficiência da Caldeira;Indústria de Papel;Performance na geração de energia a partir de biomassa ou combustível.;Secundário
Eficiência da Planta de Efluentes;Indústria de Papel;Qualidade da água tratada antes de retornar ao meio ambiente.;Secundário
Eficiência de Armazenagem;Agricultura;Percentual de ocupação de silos vs. capacidade estática total.;Primário
Eficiência de Conversão;Indústria de Papel;Rendimento na transformação de bobinas em caixas de papelão ou papel higiênico.;Secundário
Eficiência de Conversão;Petróleo;Capacidade de converter frações pesadas em produtos de maior valor (ex: diesel).;Primário (Extração) / Secundário (Refino)
Eficiência de Estoque;Pecuária;Relação entre capital imobilizado em gado e faturamento anual.;Primário
Eficiência de Fertilizante;Agricultura;Percentual do nutriente aplicado que foi efetivamente absorvido pela planta.;Primário
Eficiência de Injeção;Petróleo;Volume de água/gás injetado vs. incremento na pressão do reservatório.;Primário (Extração) / Secundário (Refino)
Eficiência de Máquina (OEE Agro);Agricultura;Tempo de operação efetiva vs. tempo parado/manutenção ou manobra.;Primário
Eficiência de Rota;Logística;Comparação entre a rota planejada vs. a rota executada.;Terciário
Eficiência de Trabalho (VA/Homem);Pecuária;Número de animais geridos por cada funcionário da fazenda.;Primário
Eficiência Logística (Canteiro);Imobiliário;Produtividade da mão de obra e desperdício de materiais na obra.;Terciário
Eficiência Operacional;Seguros;Relação entre despesas administrativas e prêmios emitidos.;Terciário
EHR (Electronic Health Record);Saúde;"Prontuário Eletrônico do Paciente; principal fonte de dados para o BI clínico.";Terciário
EHS (Environment, Health and Safety);Petróleo;Dashboard de incidentes, derramamentos e segurança do trabalho.;Primário (Extração) / Secundário (Refino)
Elasticidade Cruzada;Varejo;Como a mudança de preço de um produto afeta a demanda de outro produto relacionado.;Terciário
Elasticidade de Preço;Comercial e Vendas;Indicador que mede a sensibilidade da demanda em relação à variação do preço.;Terciário
Elasticidade de Preço;Vendas;Sensibilidade da demanda em relação às alterações no preço do produto.;Terciário
Elasticidade de Preço;Seguros;Quanto a variação no valor do seguro afeta a renovação ou fechamento.;Terciário
Elasticidade-Preço da Demanda;Macroeconomia;Sensibilidade do volume de vendas em relação à variação de preços.;Terciário (Serviços/Administração)
Email Marketing;Marketing;Uso do e-mail como canal direto de comunicação e vendas.;Terciário
Embedded Finance;Bancário/Fintech;Serviços financeiros integrados em jornadas de consumo não financeiras.;Terciário
Emissões de CO2 por Barril;Petróleo;KPI de sustentabilidade (ESG) focado na pegada de carbono da extração.;Primário (Extração) / Secundário (Refino)
Emissões de CO2 por Tonelada;Indústria de Papel;Indicador de sustentabilidade e pegada de carbono da produção.;Secundário
Empenho de Despesa;Governo;Reserva de orçamento para um pagamento planejado.;Terciário
Empty Miles (Km em Vazio);Logística;Distância percorrida por um veículo sem carga (custo de ineficiência).;Terciário
Empty Miles (Logística);Agricultura;"Viagens de caminhão sem carga; KPI de ineficiência no transporte de safra.";Primário
Endosso;Seguros;Alteração nos dados da apólice durante sua vigência.;Terciário
Energy Intensity Index (EII);Petróleo;Métrica de eficiência energética comparativa para refinarias (Solomon).;Primário (Extração) / Secundário (Refino)
Engagement Rate;Marketing;Métrica que mede quão ativa é a audiência com o conteúdo.;Terciário
Engagement Score;Recursos Humanos;Índice que mede o compromisso emocional do colaborador com a empresa.;Terciário
eNPS (Employee Net Promoter Score);Recursos Humanos;Métrica que mede a lealdade e disposição do funcionário em recomendar a empresa.;Terciário
Entrevista de Desligamento (Exit Interview);Recursos Humanos;Dados qualitativos transformados em nuvens de palavras para entender saídas.;Terciário
Enxofre no Diesel (PPM);Petróleo;Métrica de controle de qualidade ambiental do combustível.;Primário (Extração) / Secundário (Refino)
EOR Efficiency (Enhanced Oil Recovery);Petróleo;Ganho de produção via métodos avançados (vapor, químicos, CO2).;Primário (Extração) / Secundário (Refino)
Epidemiologia Preditiva;Saúde;Uso de dados históricos para prever surtos de doenças ou demandas sazonais.;Terciário
E-Procurement;Vendas;Processo de vendas e compras realizado via plataformas eletrônicas B2B.;Terciário
EPS (Earnings Per Share);Bolsa de Valores;Lucro por ação, calculado dividindo o lucro total pelo número de ações.;Terciário
Equipamento de Proteção (Vida Útil);Segurança Pública;Controle de BI sobre vencimento de coletes e munições.;Terciário
Equity;Financeiro;"Patrimônio Líquido; a parte dos ativos que pertence aos donos.";Terciário
ER (Emergency Room) Wait Time;Saúde;Tempo médio de espera entre a triagem e o atendimento médico na emergência.;Terciário
Erosão Estimada (Toneladas/ha/ano);Agricultura;Perda de solo monitorada para práticas de conservação.;Primário
ERP;TI/Negócio;Sistema integrado de gestão empresarial (fonte primária de dados).;Terciário
ERP Consolidation;Financeiro;Integração de múltiplos sistemas de gestão para visão financeira unificada.;Terciário
ERP Integrado;Supply Chain;Sistema que centraliza os dados de todos os elos da cadeia.;Terciário
Error Rate;Tecnologia;Percentagem de pedidos que resultam em erros (ex: erros 5xx em HTTP).;Terciário
Escala de Manchester;Saúde;Protocolo de triagem por cores que define a prioridade clínica.;Terciário
Escore de Condição Corporal (ECC);Pecuária;Nota visual/tátil da gordura do animal, usada para prever performance reprodutiva.;Primário
Escore de Fezes;Pecuária;Métrica visual para avaliar a digestibilidade da dieta em confinamento.;Primário
Escore de Locomoção;Pecuária;Indicador de problemas de casco que reduzem o GMD.;Primário
Escrituração;Imobiliário;KPI de ciclo final da venda e transferência de propriedade.;Terciário
ESG Score (Agro);Agricultura;Avaliação de conformidade ambiental, social e de governança da fazenda.;Primário
E-SIC (Sistema de Informação ao Cidadão);Governo;Canal para pedidos de acesso a dados governamentais.;Terciário
Espaçamento de Poços;Petróleo;Análise geoespacial para otimizar a drenagem do reservatório.;Primário (Extração) / Secundário (Refino)
Espessura de Gordura Subcutânea (EGS);Pecuária;Medida de precocidade de acabamento via ultrassom.;Primário
Estagflação;Macroeconomia;Cenário econômico com estagnação do crescimento e inflação alta simultaneamente.;Terciário (Serviços/Administração)
Estande de Plantas;Agricultura;"Número de plantas por metro linear ou hectare; indicador de qualidade do plantio.";Primário
Estatísticas de Suicídio;Segurança Pública;Métricas para políticas de saúde mental e intervenção social.;Terciário
Estimativa de Reservas 1P, 2P, 3P;Petróleo;Classificação de probabilidade (provada, provável e possível) de recuperação de óleo.;Primário (Extração) / Secundário (Refino)
Estoque de Segurança;Logística;Quantidade mínima de reserva para cobrir variações na demanda ou atrasos de fornecedores.;Terciário
Estoque em Obra;Imobiliário;Unidades de empreendimentos em construção disponíveis para venda.;Terciário
Estoque em Trânsito (Pipeline Stock);Logística;Produtos que já saíram do fornecedor mas ainda não chegaram ao destino.;Terciário
Estoque Pronto;Imobiliário;Unidades concluídas que ainda não foram vendidas (custo de manutenção alto).;Terciário
Estoque Virtual;Logística;Integração de estoques de várias lojas/unidades vista como um único pool de dados.;Terciário
Estratégia Quant;Bolsa de Valores;Investimento baseado em modelos matemáticos e algoritmos de dados.;Terciário
Estudo de Viabilidade;Imobiliário;Análise de dados que determina se um projeto trará o retorno esperado.;Terciário
Etanol vs Açúcar;Macroeconomia;Mix de produção impactado pelo preço internacional do petróleo e dólar.;Terciário (Serviços/Administração)
ETF (Exchange Traded Fund);Bolsa de Valores;Fundo de investimento negociado em bolsa como se fosse uma ação.;Terciário
ETL (Extract, Transform, Load);Engenharia de Dados;Extração, transformação e carga de dados em um DW.;Terciário
ETL (Extract, Transform, Load);Tecnologia;Processo de mover e transformar dados de origens para um destino analítico.;Terciário
ETL (Extract, Transform, Load);Mercado Financeiro;Processo de integração de dados de diferentes sistemas bancários para um Data Warehouse.;Terciário
ETL Criminal;Segurança Pública;Processo de limpar e padronizar registros de ocorrências para análise.;Terciário
ETL/ELT Pipelines;Startups;Processo automatizado de movimentação e limpeza de dados para análise.;Terciário (Majoritariamente)
ETR (Evapotranspiração Real);Agricultura;Métrica de perda de água do solo e planta, crucial para gestão de irrigação.;Primário
EUA (Eficiência do Uso da Água);Agricultura;Relação entre a biomassa produzida e o volume de água aplicado/precipitado.;Primário
Evasão Escolar x Criminalidade;Segurança Pública;Análise de correlação entre abandono de estudos e engajamento criminal juvenil.;Terciário
Eventos Adversos;Saúde;Incidentes que resultam em danos ao paciente, monitorados para segurança.;Terciário
Evergreen Content;Marketing;"Conteúdo ""atemporal"" que continua relevante por muito tempo.";Terciário
Everyday Low Price (EDLP);Varejo;Estratégia de preços baixos constantes em vez de promoções pontuais.;Terciário
Evidência Científica na Gestão;Governo;Uso de ciência de dados para embasar políticas públicas.;Terciário
Excesso de Danos (XL);Seguros;Contrato de resseguro que cobre apenas o que exceder um valor determinado.;Terciário
Execução Orçamentária %;Governo;Percentual do orçamento previsto que foi efetivamente gasto.;Terciário
Exit Strategy;Startups;Plano de saída (IPO ou Aquisição) que orienta as metas de longo prazo no BI.;Terciário (Majoritariamente)
Expansion MRR;Startups;Receita adicional vinda de clientes atuais (upsells e cross-sells).;Terciário (Majoritariamente)
Expansion Revenue;Comercial;Receita adicional gerada por clientes já existentes.;Terciário
Exposição ao Risco;Seguros;Unidade de medida que representa o risco assumido (ex: dias-veículo).;Terciário
Exposição de Mercado;Petróleo;Risco financeiro baseado na variação do preço do petróleo sem cobertura.;Primário (Extração) / Secundário (Refino)
Exposure (Exposição ao Risco);Financeiro;Valor total em risco em uma determinada operação ou contraparte.;Terciário
Exposure (Exposição);Bolsa de Valores;Montante total de capital sujeito ao risco de um mercado específico.;Terciário
Exposure at Default (EAD);Mercado Financeiro;Valor total em risco no momento em que um cliente entra em inadimplência.;Terciário
F&I (Finance and Insurance) Income;Automobilístico;Receita proveniente de financiamentos e seguros vendidos na loja.;Secundário
False Positive Rate (Fraude);Bancário/Fintech;Transações legítimas bloqueadas por suspeita de fraude.;Terciário
Fator de Bradford;Recursos Humanos;Cálculo que prioriza a frequência de faltas curtas sobre faltas longas.;Terciário
Fator de Brancura (Brightness);Indústria de Papel;Indicador de qualidade visual do papel, medido via análise laboratorial.;Secundário
Fator de Carga (Logística);Indústria de Papel;Otimização do espaço nos caminhões para transporte de bobinas ou caixas.;Secundário
Fator de Profit (Profit Factor);Bolsa de Valores;Relação entre o lucro bruto e o prejuízo bruto de uma estratégia.;Terciário
Fator de Recuperação (FR);Petróleo;Razão entre o volume de óleo extraído e o volume total original no reservatório.;Primário (Extração) / Secundário (Refino)
Fator de Retenção de Fibras;Indústria de Papel;Eficiência na retenção de fibras e cargas minerais na tela da máquina.;Secundário
Fator de Utilização de FPSO;Petróleo;Métrica de eficiência da unidade flutuante de produção, armazenamento e descarga.;Primário (Extração) / Secundário (Refino)
Fator de Utilização de Refinaria;Petróleo;Percentual da capacidade nominal de refino efetivamente utilizada.;Primário (Extração) / Secundário (Refino)
Faturamento Bruto;Comercial e Vendas;Valor total das vendas sem deduções de impostos ou devoluções.;Terciário
Faturamento Bruto de Prêmios;Seguros;Total arrecadado sem descontar impostos e cosseguro cedido.;Terciário
Faturamento em Aberto;Saúde;Contas hospitalares prontas que ainda não foram enviadas para a operadora.;Terciário
Faturamento Líquido;Comercial e Vendas;Valor que efetivamente entra na empresa após impostos e descontos comerciais.;Terciário
Faturamento por Hectare/Ano;Pecuária;Indicador financeiro de densidade de receita da terra.;Primário
FCL (Fluxo de Caixa Livre);Petróleo;Caixa gerado após todos os investimentos necessários em campos.;Primário (Extração) / Secundário (Refino)
Feature Adoption;Tecnologia;Métrica que indica quantos utilizadores usam uma funcionalidade específica.;Terciário
Feature Adoption Rate;Startups;Percentual de usuários que utilizam uma funcionalidade específica lançada.;Terciário (Majoritariamente)
Fee-for-service (FFS);Saúde;Modelo tradicional onde se paga por cada item ou serviço consumido.;Terciário
FEFO (First Expired, First Out);Logística;Critério de saída de estoque baseado na data de validade (Primeiro que Vence, Primeiro que Sai).;Terciário
FEFO (First Expired, First Out);Supply Chain;Critério de saída de estoque baseado na data de validade (Primeiro que Vence, Primeiro que Sai).;Terciário
Field Margin (Margem por Talhão);Agricultura;Rentabilidade granular calculada individualmente para cada unidade de manejo.;Primário
Field Sales;Vendas;Vendas externas, onde o vendedor visita presencialmente o cliente.;Terciário
Field Sales;Comercial;Vendas externas, presenciais com o cliente.;Terciário
FIFO (First In, First Out);Logística;Critério onde o primeiro item a entrar no estoque é o primeiro a sair.;Terciário
FIFO (First In, First Out);Supply Chain;Critério onde o primeiro item a entrar no estoque é o primeiro a sair.;Terciário
FII (Fundo de Investimento Imobiliário);Bolsa de Valores;Condomínio de investidores focado no mercado de imóveis.;Terciário
Fila de Vendas;Vendas;Volume de leads aguardando atendimento por parte do time comercial.;Terciário
Fill Rate;Varejo;Percentual de pedidos atendidos integralmente em relação ao total de pedidos solicitados.;Terciário
Fill Rate;Logística;Percentual de pedidos atendidos integralmente na primeira tentativa.;Terciário
Fill Rate;Supply Chain;Percentual da demanda atendida imediatamente pelo estoque disponível.;Terciário
Fill Rate (Peças);Automobilístico;Capacidade de atender pedidos de peças de reposição imediatamente do estoque.;Secundário
Finance Penetration;Automobilístico;Percentual de veículos vendidos através do banco da própria montadora.;Secundário
Financial Health Score;Bancário/Fintech;Métrica que avalia a saúde das finanças do cliente para consultoria.;Terciário
First Pass Yield (FPY);Indústria de Papel;Produtos que saíram com qualidade perfeita na primeira tentativa, sem retrabalho.;Secundário
First Pass Yield (FPY);Varejo;No varejo, pode ser aplicado à eficiência logística de entrega sem erros na primeira tentativa.;Terciário
First Response Time (FRT);Tecnologia;Tempo médio para o suporte técnico responder ao primeiro contacto do cliente.;Terciário
First Time Through (FTT);Automobilístico;Percentual de unidades que passam pelo processo sem necessidade de retrabalho.;Secundário
Fixed Costs;Financeiro;Custos fixos que não variam com o volume de produção/venda.;Terciário
Fixed Costs vs. Variable Costs;Startups;Monitoramento essencial para entender a alavancagem operacional da startup.;Terciário (Majoritariamente)
Flagship Store (Loja Conceito);Varejo;Loja principal de uma marca, focada em experiência e branding.;Terciário
Floating;Mercado Financeiro;Tempo entre o débito em uma conta e o crédito em outra, onde o banco detém o recurso.;Terciário
Floor Plan;Automobilístico;Linha de crédito para financiamento do estoque das concessionárias.;Secundário
Flow Assurance;Petróleo;Garantia de que o fluido chegará ao destino sem obstruções (ceras/hidratos).;Primário (Extração) / Secundário (Refino)
Fluxo de Caixa de Financiamento;Financeiro;Movimentações com acionistas (dividendos) ou credores (empréstimos).;Terciário
Fluxo de Caixa de Investimento;Financeiro;Saídas e entradas relacionadas à compra/venda de ativos de longo prazo.;Terciário
Fluxo de Caixa Descontado (DCF);Financeiro;Método de valuation que projeta lucros futuros e os traz a valor presente.;Terciário
Fluxo de Caixa Livre (FCF);Financeiro;Caixa que sobra após deduzir despesas e investimentos em capital fixo.;Terciário
Fluxo de Caixa Livre (FCF);Mercado Financeiro;Dinheiro que sobra após a empresa pagar todas as despesas e investimentos.;Terciário
Fluxo de Caixa Operacional;Financeiro;Caixa gerado puramente pelas atividades core do negócio.;Terciário
Fluxo de Capitais;Macroeconomia;Movimentação de dinheiro para dentro e fora do país (financeiro e produtivo).;Terciário (Serviços/Administração)
Flywheel;Comercial;Modelo onde o cliente é o centro e gera crescimento orgânico.;Terciário
FMI (Fundo Monetário Internacional);Macroeconomia;Organização que busca garantir a estabilidade financeira global.;Terciário (Serviços/Administração)
FOB (Free on Board);Agricultura;Modalidade de venda onde o comprador assume o frete a partir da fazenda/armazém.;Primário
Focus (Relatório);Macroeconomia;Resumo semanal das projeções de mercado feitas pelo Banco Central.;Terciário (Serviços/Administração)
Folha de Pagamento/Receita Corrente Líquida;Governo;KPI de limite prudencial para gastos com pessoal.;Terciário
Follow-on;Bolsa de Valores;Oferta de ações adicional realizada por uma empresa já listada.;Terciário
Follow-up;Comercial;Acompanhamento contínuo de um lead após o contato inicial.;Terciário
Food Conversion Ratio (FCR);Pecuária;Termo global para conversão alimentar (Kg alimento / Kg carne).;Primário
Footfall (Fluxo de Clientes);Varejo;Contagem de pessoas que entram na loja física em um período.;Terciário
Forecast;Planejamento;Previsão de cenários futuros baseada em dados históricos.;Terciário
Forecast (Previsão);Vendas;Estimativa de vendas futuras baseada em dados históricos e pipeline.;Terciário
Forecast Accuracy;Supply Chain;Grau de precisão entre a previsão de demanda e o consumo real.;Terciário
Forecast de Vendas;Comercial e Vendas;Previsão de vendas futuras baseada em dados históricos e tendências de mercado.;Terciário
Forecast de Vendas;Comercial;Previsão de vendas futuras baseada em dados históricos e pipeline.;Terciário
Forecast vs Actual;Financeiro;Análise de variação entre o que foi orçado (planejado) e o que foi realizado.;Terciário
FPD (First Payment Default);Bancário/Fintech;Inadimplência já na primeira parcela do contrato de crédito.;Terciário
FPSO Mooring Tension;Petróleo;Monitoramento da tensão nas linhas de ancoragem de unidades flutuantes.;Primário (Extração) / Secundário (Refino)
Franquia Média;Seguros;Valor médio que o segurado deve pagar em caso de sinistro.;Terciário
Fraud Detection Accuracy;Bancário/Fintech;Precisão dos modelos de Machine Learning em identificar fraudes reais.;Terciário
Fraude Estimada;Seguros;Percentual de sinistros identificados como fraudulentos via modelos de BI.;Terciário
Free Float;Bolsa de Valores;Percentual de ações de uma empresa que estão disponíveis para negociação no mercado.;Terciário
Freight-to-Sales Ratio;Supply Chain;Impacto do custo de frete sobre a receita líquida de vendas.;Terciário
Freight-to-Sales Ratio;Automobilístico;Percentual do custo de frete em relação ao valor da venda do veículo.;Secundário
Frequência;Marketing;Média de vezes que cada pessoa viu o mesmo anúncio.;Terciário
Frequência de Compra;Vendas;Número médio de vezes que um cliente compra em um período.;Terciário
Frequência de Compra;Comercial e Vendas;Número médio de vezes que um cliente compra em um determinado intervalo.;Terciário
Frequência de Compras;Indústria de Papel;Intervalo médio entre pedidos de um mesmo cliente.;Secundário
Frequência de Sinistros;Seguros;Número de sinistros em relação ao número de itens segurados (exposição).;Terciário
Frete Peso vs. Frete Valor;Logística;Composição da tarifa de frete baseada no peso ou no valor da mercadoria (Ad Valorem).;Terciário
Frete por Tonelada;Indústria de Papel;Custo logístico unitário para entrega do produto acabado.;Secundário
Frete Retorno;Supply Chain;Aproveitamento do caminhão que volta vazio para reduzir custos.;Terciário
Frete sobre Vendas;Logística;Percentual que o custo de transporte representa sobre o faturamento bruto.;Terciário
Frota de Veículos Públicos;Governo;Monitoramento de custos de manutenção e combustível.;Terciário
Frota Própria vs. Terceirizada;Logística;Análise de custo-benefício entre operar caminhões próprios ou contratar transportadoras.;Terciário
Frotistas (Fleet Sales);Automobilístico;Segmento de grandes compradores que exige análise de margem diferenciada.;Secundário
FTE (Full-Time Equivalent);Recursos Humanos;Conversão de horas de trabalho parciais em equivalentes de tempo integral.;Terciário
Fulfillment;Logística;Processo de processar, embalar e enviar um pedido ao cliente.;Terciário
Fulfillment;Logística;Processo completo desde o recebimento do pedido até a entrega e pós-venda.;Terciário
Full Stack Analytics;Tecnologia;Análise que abrange desde a infraestrutura até ao comportamento do utilizador final.;Terciário
Funding;Imobiliário;Origem dos recursos para a obra (SFH, SFI, Debêntures, Capital Próprio).;Terciário
Funil de Recrutamento;Recursos Humanos;Conversão entre candidatos inscritos, triados, entrevistados e contratados.;Terciário
Funil de Vendas (Pipeline);Marketing;Representação visual das etapas que o cliente percorre até a compra.;Terciário
Funil de Vendas (Pipeline);Vendas;Representação visual das etapas da jornada de compra de um lead.;Terciário
Funil de Vendas (Sales Funnel);Comercial;Representação das etapas da jornada de compra do cliente.;Terciário
Funil de Vendas (Sales Pipeline);Comercial e Vendas;Representação visual das etapas de negociação, do prospect ao fechamento.;Terciário
Furtos de Fios e Cabos;Segurança Pública;Métrica de impacto em infraestrutura urbana e serviços públicos.;Terciário
G&A (General & Administrative);Financeiro;Despesas gerais e administrativas (aluguel, salários do backoffice, etc).;Terciário
Ganhos Financeiros (Float);Seguros;Rendimento sobre o capital das reservas técnicas investido no mercado.;Terciário
Gap;Bolsa de Valores;Diferença de preço entre o fechamento anterior e a abertura atual.;Terciário
Gap Analysis;Planejamento;Análise da diferença entre a situação atual e o objetivo desejado.;Terciário
Gap de Infraestrutura;Macroeconomia;Diferença entre a infraestrutura necessária e a existente para o crescimento.;Terciário (Serviços/Administração)
Garantia de Entrega;Imobiliário;KPI de pontualidade no cronograma físico da obra.;Terciário
Gargalo (Bottleneck);Supply Chain;Ponto da cadeia com menor capacidade produtiva que limita o fluxo total.;Terciário
Gargalo Logístico;Logística;Ponto da cadeia onde o fluxo é restrito, reduzindo a capacidade total.;Terciário
Gas Lift Efficiency;Petróleo;Performance da técnica de injeção de gás para facilitar a subida do óleo.;Primário (Extração) / Secundário (Refino)
